state,year,graduation,enrollment,american_indian_total,american_indian_male,american_indian_female,asian_total,asian_male,asian_female,hispanic_total,hispanic_male,hispanic_female,black_total,black_male,black_female,white_total,white_male,white_female
New Mexico,2005,17892,19518,2303,1139,1164,265,135,130,9043,4302,4741,425,225,200,7482,3768,3714
New Mexico,2006,17822,19119,2378,1149,1229,290,140,150,8826,4354,4472,451,214,237,7174,3670,3504
New Mexico,2007,16131,19329,2426,1133,1293,301,170,131,8993,4385,4608,491,234,257,7118,3587,3531
New Mexico,2008,18264,19594,2486,1162,1324,312,159,153,9344,4541,4803,529,259,270,6923,3434,3489
New Mexico,2009,17931,19940,2586,1203,1383,284,147,137,9753,4802,4951,533,263,270,6784,3453,3331
New York,1993,134573,142822,433,,,8394,,,13336,,,20356,,,100171,,
New York,1994,132963,143055,428,,,8591,,,13904,,,20886,,,99246,,
New York,1995,132708,144139,534,,,8652,,,14494,,,20938,,,99521,,
New York,1996,132401,142841,449,,,8750,,,14758,,,20302,,,98582,,
New York,1997,134401,146738,511,,,9339,,,15675,,,20990,,,100223,,
New York,1998,140861,146818,524,,,9380,,,15778,,,20621,,,100515,,
New York,1999,139529,148315,483,,,9612,,,16483,,,20780,,,100957,,
New York,2000,139426,150444,546,253,293,9704,4792,4912,17206,8028,9178,21075,9343,11732,101913,50812,51101
New York,2001,141731,151043,472,232,240,10113,5054,5059,17217,8077,9140,21328,9263,12065,101913,51056,50857
New York,2002,141884,153505,506,235,271,10438,5196,5242,17451,8298,9153,21483,9618,11865,103627,51859,51768
New York,2003,140139,158474,582,273,309,10891,5348,5543,18241,8577,9664,22587,10192,12395,106173,53480,52693
New York,2004,143818,163362,536,267,269,11376,5627,5749,19630,9309,10321,23801,10778,13023,108019,54279,53740
New York,2005, ã ,166975,628,299,329,11849,5925,5924,21470,10125,11345,25026,11349,13677,108002,54065,53937
New York,2006,161817,173867,661,321,340,12637,6278,6359,23530,11057,12473,26865,12229,14636,110174,55696,54478
New York,2007,168333,179030,684,322,362,13403,6644,6759,25050,11732,13318,28411,12930,15481,110476,55731,54745
New York,2008,176310,185680,694,342,352,13822,6959,6863,27979,13178,14801,30511,14053,16458,112514,56881,55633
New York,2009,180917,185896,725,335,390,14007,7018,6989,29824,14219,15605,30982,14403,16579,110038,55415,54623
North Carolina,1993,61157,63427,845,,,858,,,463,,,17901,,,43360,,
North Carolina,1994,60460,60856,848,,,914,,,477,,,16972,,,41645,,
North Carolina,1995,57738,62324,872,,,987,,,563,,,17091,,,42811,,
North Carolina,1996,59540,59653,793,,,932,,,660,,,16257,,,41011,,
North Carolina,1997,57014,61593,791,,,1075,,,746,,,16965,,,42016,,
North Carolina,1998,57886,62552,,,,,,,,,,,,,,,
North Carolina,1999,59292,63476,730,308,422,1272,622,650,977,490,487,17050,7708,9342,43447,21251,22196
North Carolina,2000,60081,65558,759,337,422,1462,731,731,1185,546,639,17553,7927,9626,44599,21682,22917
North Carolina,2001,62140,66831,768,323,445,1442,731,711,1345,641,704,17897,8132,9765,45379,22372,23007
North Carolina,2002,63288,69602,788,349,439,1564,774,790,1660,814,846,18389,8421,9968,47201,23527,23674
North Carolina,2003,65955,73450,779,354,425,1610,847,763,2070,1034,1036,19706,9000,10706,49285,24442,24843
North Carolina,2004,69696,75918,890,428,462,1732,874,858,2450,1226,1224,20812,9630,11182,50034,24885,25149
North Carolina,2005,72126,79257,909,435,474,1781,921,860,3077,1514,1563,22495,10410,12085,50995,25296,25699
North Carolina,2006,76710,82267,900,417,483,1903,969,934,3544,1689,1855,23649,10848,12801,52271,25800,26471
North Carolina,2007,76031,84556,969,438,531,1966,1013,953,3944,1912,2032,23161,10598,12563,53119,26148,26971
North Carolina,2008,83307,85893,1091,510,581,2029,1020,1009,4498,2264,2234,24302,11322,12980,52350,26474,25876
North Carolina,2009,86712,88724,1077,505,572,2125,1077,1048,5176,2610,2566,26219,12118,14101,54127,27037,27090
North Dakota,1993,7438,8014,,,,,,,,,,,,,,,
North Dakota,1994,7310,8066,,,,,,,,,,,,,,,
North Dakota,1995,7522,8418,,,,,,,,,,,,,,,
North Dakota,1996,7817,8513,366,,,76,,,45,,,54,,,7972,,
North Dakota,1997,8027,8686,420,,,51,,,58,,,45,,,8112,,
North Dakota,1998,8025,8815,469,,,57,,,70,,,51,,,8168,,
North Dakota,1999,8170,9082,420,,,58,,,69,,,54,,,8439,,
North Dakota,2000,8388,9306,502,251,251,51,25,26,75,40,35,59,28,31,8619,4482,4137
North Dakota,2001,8606,9072,488,249,239,65,25,40,74,34,40,54,31,23,8391,4262,4129
North Dakota,2002,8445,8661,502,264,238,58,28,30,71,39,32,60,31,29,7970,4027,3943
North Dakota,2003,8114,8665,420,218,202,66,34,32,81,39,42,57,31,26,8041,4130,3911
North Dakota,2004,8169,8313,430,216,214,65,31,34,89,45,44,73,41,32,7656,3899,3757
North Dakota,2005,7888,8143,472,230,242,71,32,39,114,58,56,74,48,26,7412,3804,3608
North Dakota,2006,7192,7889,450,214,236,69,33,36,95,53,42,74,39,35,7201,3764,3437
North Dakota,2007,7159,7818,488,248,240,78,29,49,84,46,38,97,58,39,7071,3612,3459
North Dakota,2008,6999,7662,488,229,259,66,32,34,92,56,36,130,64,66,6886,3508,3378
North Dakota,2009,7232,7608,537,267,270,73,41,32,96,57,39,142,65,77,6760,3507,3253
Ohio,1993,104522,116085,110,,,1308,,,1474,,,12666,,,100527,,
Ohio,1994,109200,111932,123,,,1284,,,1478,,,11895,,,97152,,
Ohio,1995,107700,112266,123,,,1296,,,1484,,,12000,,,97363,,
Ohio,1996,109418,114879,134,,,1342,,,1564,,,12867,,,98782,,
Ohio,1997,102098,117161,130,,,1370,,,1554,,,13272,,,100835,,
Ohio,1998,107422,120070,122,,,1426,,,1588,,,12845,,,104089,,
Ohio,1999,111211,120670,122,64,58,1467,715,752,1527,792,735,12989,5716,7273,104565,53236,51329
Ohio,2000,111112,120885,121,55,66,1573,778,795,1684,809,875,13061,5978,7083,104446,53115,51331
Ohio,2001,111668,119704,140,68,72,1559,772,787,1604,796,808,13510,6167,7343,102891,52800,50091
Ohio,2002,111281,117683,109,60,49,1632,823,809,1629,801,828,13324,6000,7324,100419,51007,49412
Ohio,2003,110608,125057,138,68,70,1592,765,827,1797,904,893,14702,6855,7847,106105,53973,52132
Ohio,2004,115762,127993,161,73,88,1699,821,878,1898,936,962,16044,7479,8565,107252,54701,52551
Ohio,2005,119029,127379,152,72,80,1792,844,948,2006,993,1013,16600,7858,8742,105568,53564,52004
Ohio,2006,117356,130436,159,78,81,1772,919,853,2203,1084,1119,17684,8325,9359,107052,54285,52767
Ohio,2007,117658,131200,160,72,88,1809,933,876,2297,1131,1166,17588,8422,9166,107589,54660,52929
Ohio,2008,120758,134417,178,80,98,1934,1002,932,2476,1268,1208,18771,8949,9822,108906,55355,53551
Ohio,2009,122203,134522,206,100,106,2018,1048,970,2501,1265,1236,19007,8943,10064,108218,54807,53411
Oklahoma,1993,32670,33346,4069,,,534,,,856,,,2853,,,25034,,
Oklahoma,1994,30542,34744,4473,,,559,,,802,,,2994,,,25916,,
Oklahoma,1995,31872,35899,4891,,,563,,,905,,,3097,,,26443,,
Oklahoma,1996,33319,35733,4911,,,603,,,1005,,,3076,,,26138,,
Oklahoma,1997,33060,36113,4987,,,560,,,1113,,,3138,,,26315,,
Oklahoma,1998,33536,37568,5407,,,572,,,1161,,,3368,,,27060,,
Oklahoma,1999,35213,38769,5588,2794,2794,628,297,331,1155,558,597,3411,1612,1799,27987,14237,13750
Oklahoma,2000,36556,40024,6045,3060,2985,682,335,347,1381,712,669,3376,1682,1694,28540,14525,14015
Oklahoma,2001,37646,39409,6300,3160,3140,649,305,344,1481,757,724,3356,1678,1678,27623,13956,13667
Oklahoma,2002,37458,38638,6263,3152,3111,657,299,358,1612,820,792,3287,1617,1670,26819,13577,13242
Oklahoma,2003,36852,38443,6428,3280,3148,693,347,346,1655,843,812,3395,1671,1724,26272,13337,12935
Oklahoma,2004,36694,38601,6604,3332,3272,714,360,354,1845,924,921,3460,1668,1792,25978,13181,12797
Oklahoma,2005,36799,37938,6670,3379,3291,672,345,327,2035,1072,963,3470,1675,1795,25091,12772,12319
Oklahoma,2006,36497,38013,6834,3431,3403,757,358,399,2187,1100,1087,3624,1733,1891,24611,12446,12165
Oklahoma,2007,37100,38453,7121,3676,3445,908,484,424,2346,1167,1179,3516,1670,1846,24562,12299,12263
Oklahoma,2008,37630,39321,7123,3586,3537,877,428,449,2636,1268,1368,3884,1940,1944,24801,12451,12350
Oklahoma,2009,37219,38798,7439,3754,3685,933,468,465,2744,1373,1371,3660,1843,1817,24022,12214,11808
Oregon,1993,25305,31920,541,,,1303,,,1346,,,597,,,28133,,
Oregon,1994,26301,32828,579,,,1395,,,1530,,,582,,,28742,,
Oregon,1995,26338,33356,605,,,1255,,,1589,,,669,,,29236,,
Oregon,1996,26713,33202,558,,,1358,,,1641,,,660,,,28979,,
Oregon,1997,26570,34794,603,,,1308,,,1849,,,734,,,30291,,
Oregon,1998,27720,34419,582,,,1386,,,2005,,,733,,,29713,,
Oregon,1999,27754,35079,602,,,1461,,,2095,,,814,,,30107,,
Oregon,2000,28245,36827,661,,,1598,,,2345,,,738,,,31485,,
Oregon,2001,30151,37055,648,,,1592,,,2579,,,846,,,30927,,
Oregon,2002,29939,38379,699,,,1642,,,3054,,,921,,,31587,,
Oregon,2003,31153,39799,749,,,1802,,,3342,,,1051,,,32232,,
Oregon,2004,32587,40702,835,,,1933,,,3663,,,1083,,,32608,,
Oregon,2005,32958,41125,850,460,390,1969,1030,939,4020,2076,1944,1210,595,615,32062,16467,15595
Oregon,2006,32394,39414,843,428,415,2000,1020,980,4395,2281,2114,1055,555,500,31121,16099,15022
Oregon,2007,33446,43833,1011,527,484,2076,1061,1015,5031,2646,2385,1358,728,630,33134,17063,16071
Oregon,2008,34949,45559,1048,537,511,2230,1123,1107,5703,3004,2699,1327,704,623,33952,17578,16374
Oregon,2009,35138,46120,1030,545,485,2117,1079,1038,6250,3287,2963,1421,776,645,33859,17581,16278
Pennsylvania,1993,103881,108244,95,,,2200,,,1980,,,10204,,,93765,,
Pennsylvania,1994,103715,107244,110,,,2340,,,2200,,,10412,,,92182,,
Pennsylvania,1995,101958,109673,101,,,2229,,,2288,,,10646,,,94409,,
Pennsylvania,1996,104146,111050,91,,,2273,,,2386,,,10872,,,95428,,
Pennsylvania,1997,105981,114183,96,,,2195,,,2528,,,11229,,,98135,,
Pennsylvania,1998,108817,117432,116,,,2479,,,2911,,,11752,,,100174,,
Pennsylvania,1999,110919,118850,140,,,2492,,,2936,,,11980,,,101302,,
Pennsylvania,2000,112632,121152,150,,,2553,,,3158,,,12412,,,102879,,
Pennsylvania,2001,113959,122048,136,,,2774,,,3415,,,13051,,,102672,,
Pennsylvania,2002,114436,122942,171,,,2835,,,3519,,,12828,,,103589,,
Pennsylvania,2003,114943,126894,153,,,2853,,,3830,,,13827,,,106231,,
Pennsylvania,2004,119933,131199,146,,,3002,,,4475,,,15437,,,108139,,
Pennsylvania,2005,123474,132551,161,78,83,3216,1624,1592,5166,2438,2728,16370,7721,8649,107638,55054,52584
Pennsylvania,2006, ã ,135778,186,83,103,3411,1716,1695,5841,2887,2954,17381,8258,9123,108959,55262,53697
Pennsylvania,2007,128603,153112,215,117,98,3446,1781,1665,6872,3386,3486,17750,8321,9429,124829,65211,59618
Pennsylvania,2008,130298,139930,210,119,91,3599,1876,1723,6693,3282,3411,17898,8426,9472,111259,56436,54823
Pennsylvania,2009,130658,136937,206,105,101,3520,1800,1720,7052,3477,3575,17556,8311,9245,108163,54830,53333
Rhode Island,1993,7859,8244,22,,,231,,,473,,,498,,,7020,,
Rhode Island,1994,7640,8094,36,,,195,,,498,,,505,,,6860,,
Rhode Island,1995,7450,8440,29,,,226,,,545,,,512,,,7128,,
Rhode Island,1996,7826,8263,18,,,206,,,536,,,503,,,7000,,
Rhode Island,1997,7689,8428,47,,,230,,,618,,,494,,,7039,,
Rhode Island,1998,7850,8633,43,,,278,,,646,,,502,,,7164,,
Rhode Island,1999,8074,8727,35,12,23,289,137,152,724,342,382,516,236,280,7163,3534,3629
Rhode Island,2000,8179,9138,18,7,11,311,144,167,763,374,389,516,271,245,9138,4483,4655
Rhode Island,2001,8477,9184,35,23,12,303,138,165,813,368,445,549,285,264,7484,3762,3722
Rhode Island,2002,8603,9507,46,20,26,311,140,171,902,414,488,694,332,362,7554,3809,3745
Rhode Island,2003,9006,9856,32,16,16,338,167,171,984,503,481,740,368,372,7762,3908,3854
Rhode Island,2004,9318,9957,44,30,14,317,166,151,1076,511,565,746,373,373,7774,3904,3870
Rhode Island,2005,9258,10533,44,25,19,339,152,187,1260,607,653,865,393,472,8025,3967,4058
Rhode Island,2006,10108,10587,60,31,29,286,140,146,1329,640,689,847,410,437,8065,4089,3976
Rhode Island,2007,10384,10832,55,23,32,330,179,151,1539,709,830,881,389,492,8027,4024,4003
Rhode Island,2008,10347,10848,67,43,24,315,134,181,1648,758,890,940,436,504,7878,3993,3885
Rhode Island,2009,10028,10709,69,32,37,292,137,155,1561,710,851,893,428,465,7894,3957,3937
South Carolina,1993,30698,34615,48,,,305,,,134,,,13282,,,20847,,
South Carolina,1994,31297,33949,38,,,333,,,181,,,13170,,,20227,,
South Carolina,1995,30603,35376,57,,,360,,,169,,,13547,,,21244,,
South Carolina,1996,30680,34800,51,,,348,,,198,,,13548,,,20655,,
South Carolina,1997,30182,35546,65,,,351,,,235,,,14081,,,20814,,
South Carolina,1998,30829,36576,57,,,364,,,253,,,14345,,,21557,,
South Carolina,1999,31373,36637,73,26,47,394,177,217,326,170,156,14303,6432,7871,21542,10725,10817
South Carolina,2000,31495,36471,62,33,29,406,203,203,355,172,183,14213,6349,7864,21435,10408,11027
South Carolina,2001,31617,33911,49,16,33,416,200,216,364,158,206,12915,5724,7191,20166,9846,10320
South Carolina,2002,30026,35835,75,34,41,430,207,223,435,216,219,13334,6003,7331,21310,10376,10934
South Carolina,2003,31302,37515,57,26,31,447,221,226,524,238,286,14240,6364,7876,22177,10994,11183
South Carolina,2004,32482,38273,80,39,41,475,242,233,570,255,315,14801,6576,8225,22283,11052,11231
South Carolina,2005,33235,38736,83,37,46,515,244,271,746,365,381,14862,6663,8199,22443,11090,11353
South Carolina,2006, ã ,40327,102,38,64,564,258,306,803,375,428,15315,6839,8476,23433,11647,11786
South Carolina,2007,35108,41588,97,40,57,576,283,293,975,455,520,15959,7271,8688,23858,11721,12137
South Carolina,2008,35303,39459,97,39,58,631,312,319,1161,574,587,14909,6908,8001,22539,11226,11313
South Carolina,2009,39114,43189,125,58,67,668,333,335,1369,696,673,16499,7553,8946,24400,12185,12215
South Dakota,1993,7261,8259,344,,,101,,,54,,,46,,,7714,,
South Dakota,1994,7952,8936,702,,,71,,,57,,,49,,,8057,,
South Dakota,1995,8442,8925,740,,,71,,,57,,,40,,,8017,,
South Dakota,1996,8355,9116,777,,,71,,,58,,,41,,,8169,,
South Dakota,1997,8532,9552,699,,,79,,,57,,,53,,,8664,,
South Dakota,1998,9247,9939,760,,,96,,,61,,,62,,,8960,,
South Dakota,1999,9140,9521,346,160,186,80,33,47,75,40,35,75,32,43,8945,4477,4468
South Dakota,2000,8757,9693,374,199,175,83,37,46,77,38,39,67,33,34,9092,4630,4462
South Dakota,2001,9278,9354,386,204,182,89,41,48,72,33,39,50,26,24,8757,4360,4397
South Dakota,2002,8881,9454,393,183,210,100,54,46,74,43,31,61,36,25,8826,4450,4376
South Dakota,2003,8796,9768,467,241,226,100,47,53,115,72,43,113,65,48,8973,4629,4344
South Dakota,2004,8999,9566,483,226,257,121,66,55,114,60,54,124,61,63,8724,4535,4189
South Dakota,2005,9001,9389,520,262,258,123,54,69,129,67,62,129,80,49,8488,4237,4251
South Dakota,2006,8589,8956,535,278,257,121,66,55,105,55,50,104,58,46,8091,4069,4022
South Dakota,2007,8346,8795,473,212,261,113,45,68,120,59,61,104,63,41,7985,4098,3887
South Dakota,2008,8582,8901,546,275,271,122,63,59,135,64,71,124,57,67,7974,4023,3951
South Dakota,2009,8123,8831,617,313,304,112,53,59,163,83,80,150,86,64,7789,3939,3850
Tennessee,1993,45138,49639,50,,,371,,,171,,,9994,,,39103,,
Tennessee,1994,44166,47668,50,,,404,,,197,,,9137,,,38261,,
Tennessee,1995,40643,49401,49,,,447,,,215,,,9322,,,39476,,
Tennessee,1996,43556,49319,72,,,466,,,254,,,9458,,,39069,,
Tennessee,1997,43792,50332,50,,,596,,,287,,,10240,,,39159,,
Tennessee,1998,41617,48881,66,,,593,,,363,,,10185,,,39253,,
Tennessee,1999,39866,49440,76,,,641,,,481,,,10297,,,46456,,
Tennessee,2000,40823,53160,77,,,703,,,444,,,10727,,,40841,,
Tennessee,2001,41568,48802,83,,,699,,,515,,,10128,,,39696,,
Tennessee,2002,40642,51278,71,,,704,,,600,,,10409,,,39485,,
Tennessee,2003,40894,53273,104,,,751,,,775,,,10806,,,40837,,
Tennessee,2004,44113,54115,89,,,768,,,813,,,11827,,,40618,,
Tennessee,2005,46096,55490,75,,,781,,,954,,,12502,,,41178,,
Tennessee,2006,50880,56949,95,51,44,902,414,488,1167,581,586,12618,5759,6859,42153,21203,20950
Tennessee,2007,54502,59904,114,57,57,970,486,484,1294,609,685,13521,6198,7323,44005,22081,21924
Tennessee,2008,57486,62040,115,60,55,938,491,447,1698,848,850,14600,6832,7768,44689,22633,22056
Tennessee,2009,60368,65306,125,61,64,953,500,453,1935,957,978,15815,7431,8384,46478,23727,22751
Texas,1993,162270,180206,390,,,5027,,,53422,,,22809,,,98558,,
Texas,1994,162270,178889,394,,,5507,,,54240,,,22487,,,96264,,
Texas,1995,163191,183737,413,,,5601,,,55592,,,22903,,,99228,,
Texas,1996,170322,186229,441,,,5748,,,55991,,,24325,,,99724,,
Texas,1997,171844,195075,431,,,5934,,,59441,,,26027,,,103242,,
Texas,1998,181794,206928,495,,,6345,,,64052,,,27816,,,108220,,
Texas,1999,197186,212503,884,421,463,7053,3522,3531,66390,32884,33506,28259,13515,14744,109917,55671,54246
Texas,2000,203393,217670,535,260,275,7107,3652,3455,70012,34086,35926,28322,13426,14896,111694,56494,55200
Texas,2001,212925,219943,583,303,280,7343,3657,3686,71282,34998,36284,29117,13904,15213,111618,56436,55182
Texas,2002,215316,226429,576,305,271,7877,3951,3926,74972,36584,38388,29800,14165,15635,113204,57134,56070
Texas,2003,225167,238882,676,322,354,8165,4118,4047,81002,39811,41191,31858,15392,16466,117181,59478,57703
Texas,2004,238111,243490,708,351,357,8384,4303,4081,85105,42265,42840,32837,15773,17064,116456,59074,57382
Texas,2005,244165,247655,747,378,369,8537,4366,4171,89390,44397,44993,34266,16476,17790,114715,58328,56387
Texas,2006,240485,257151,826,406,420,9407,4769,4638,94183,46606,47577,37241,18080,19161,115494,59078,56416
Texas,2007,241193,263224,906,439,467,9958,5139,4819,99372,48393,50979,37518,17921,19597,115470,58679,56791
Texas,2008,252121,273867,964,450,514,10139,5185,4954,107472,52157,55315,38946,18552,20394,116346,58901,57445
Texas,2009,264275,280308,988,470,518,10679,5479,5200,114595,55614,58981,40064,19356,20708,113982,58095,55887
Utah,1993,23513,28775,,,,,,,,,,,,,,,
Utah,1994,24197,31692,,,,,,,,,,,,,,,
Utah,1995,26407,33337,,,,,,,,,,,,,,,
Utah,1996,27670,32006,,,,,,,,,,,,,,,
Utah,1997,26293,34795,347,,,741,,,1426,,,177,,,32104,,
Utah,1998,30753,35900,368,,,820,,,1530,,,170,,,33012,,
Utah,1999,31567,35706,345,165,180,832,422,410,1701,901,800,194,103,91,32634,16817,15817
Utah,2000,31574,36594,431,237,194,912,432,480,1848,960,888,215,107,108,33188,16852,16336
Utah,2001,32501,35484,435,231,204,980,533,447,2083,1096,987,254,138,116,31732,16302,15430
Utah,2002,31036,34951,414,205,209,1001,526,475,2275,1238,1037,252,133,119,31009,15876,15133
Utah,2003,30183,34790,428,219,209,993,508,485,2503,1296,1207,276,145,131,30590,15816,14774
Utah,2004,29527,34629,506,287,219,999,488,511,2692,1402,1290,310,154,156,30083,15264,14819
Utah,2005,30252,35671,549,278,271,1038,545,493,3047,1653,1394,322,165,157,30715,15985,14730
Utah,2006,29050,36923,578,293,285,1231,630,601,3280,1734,1546,367,202,165,31308,16016,15292
Utah,2007,28276,36425,603,310,293,1149,588,561,3566,1835,1731,404,228,176,30703,15737,14966
Utah,2008,28167,40375,706,354,352,1392,716,676,4626,2525,2101,558,314,244,32978,17263,15715
Utah,2009,30463,37818,600,269,331,1327,684,643,4254,2250,2004,502,239,263,31024,15999,15025
Vermont,1993,5231,5573,36,,,49,,,31,,,28,,,5429,,
Vermont,1994,5697,6227,47,,,79,,,42,,,41,,,6018,,
Vermont,1995,5414,6458,37,,,74,,,40,,,30,,,6277,,
Vermont,1996,5871,6507,52,,,96,,,33,,,39,,,6287,,
Vermont,1997,5867,6622,48,,,91,,,46,,,44,,,6393,,
Vermont,1998,6181,6831,48,,,118,,,45,,,41,,,6579,,
Vermont,1999,6469,6823,71,,,86,,,30,,,43,,,6593,,
Vermont,2000,6521,7014,43,18,25,93,47,46,34,17,17,42,22,20,6802,3467,3335
Vermont,2001,6675,7232,41,14,27,131,70,61,51,28,23,54,28,26,6955,3501,3454
Vermont,2002,6856,7422,55,27,28,142,72,70,43,22,21,48,24,24,7134,3671,3463
Vermont,2003,7083,7398,52,27,25,150,82,68,61,32,29,61,25,36,7074,3594,3480
Vermont,2004,6970,7614,65,34,31,138,63,75,59,28,31,88,52,36,7250,3705,3545
Vermont,2005,7100,7552,45,19,26,139,76,63,74,43,31,81,43,38,7197,3718,3479
Vermont,2006,6779,7499,56,28,28,158,99,59,76,44,32,91,58,33,7094,3757,3337
Vermont,2007,7317,7599,106,59,47,138,81,57,72,39,33,103,63,40,7151,3701,3450
Vermont,2008,7392,7714,52,28,24,183,107,76,79,40,39,96,56,40,7266,3703,3563
Vermont,2009,7209,7520,42,17,25,104,54,50,72,38,34,101,52,49,7154,3640,3514
Virginia,1993,57338,60854,96,,,2747,,,1402,,,12855,,,43754,,
Virginia,1994,56948,60314,108,,,2779,,,1572,,,12715,,,43140,,
Virginia,1995,56140,62899,94,,,2825,,,1670,,,13732,,,44578,,
Virginia,1996,58260,62204,127,,,2713,,,1789,,,13604,,,43971,,
Virginia,1997,58166,64497,127,,,2873,,,1866,,,14528,,,45103,,
Virginia,1998,60587,66430,141,,,2936,,,1871,,,15217,,,46265,,
Virginia,1999,62738,67787,132,,,3150,,,2147,,,15521,,,46837,,
Virginia,2000,63875,69333,155,,,3245,,,2307,,,15838,,,47788,,
Virginia,2001,65596,70337,161,82,79,3608,1812,1796,2657,1403,1254,15874,7568,8306,48037,24111,23926
Virginia,2002,66067,70607,166,77,89,3511,1798,1713,2701,1343,1358,16169,7587,8582,48060,24078,23982
Virginia,2003,66519,75944,185,82,103,3859,1959,1900,3202,1579,1623,17781,8405,9376,50610,25609,25001
Virginia,2004,72943,76477,338,182,156,3772,1946,1826,3442,1716,1726,18132,8560,9572,50471,25342,25129
Virginia,2005,72042,77965,193,107,86,4233,2157,2076,4092,2015,2077,18223,8538,9685,50782,25450,25332
Virginia,2006,69597,78913,233,119,114,4380,2268,2112,4330,2153,2177,18694,8971,9723,50685,25562,25123
Virginia,2007,73997,82901,214,103,111,4582,2307,2275,4698,2386,2312,19987,9370,10617,52522,26456,26066
Virginia,2008,77369,85413,238,124,114,4922,2553,2369,5172,2580,2592,20618,9670,10948,53392,26829,26563
Virginia,2009,79651,87177,263,137,126,5020,2569,2451,5752,2872,2880,21573,10290,11283,53183,26873,26310
Washington,1993,44381,53986,1156,,,3872,,,2598,,,1746,,,44614,,
Washington,1994,45262,55847,1254,,,4207,,,2924,,,2149,,,45313,,
Washington,1995,47235,58150,1347,,,4393,,,3197,,,2379,,,46834,,
Washington,1996,49294,59612,1285,,,4404,,,3458,,,2440,,,48025,,
Washington,1997,49862,62235,1375,,,4542,,,3686,,,2698,,,49934,,
Washington,1998,51609,64731,1470,,,4869,,,4112,,,2664,,,51616,,
Washington,1999,53679,65782,1407,,,5332,,,4270,,,2704,,,52069,,
Washington,2000,55418,68486,1533,,,5567,,,4332,,,2993,,,54061,,
Washington,2001,57597,68580,1487,,,5553,,,4638,,,2960,,,53942,,
Washington,2002,55081,69536,1474,747,727,5744,2920,2824,5034,2606,2428,2930,1499,1431,54354,27626,26728
Washington,2003,58311,72354,1578,824,754,6008,3084,2924,5604,2857,2747,3195,1651,1544,55969,28327,27642
Washington,2004,60435,74338,1723,875,848,6065,3058,3007,6084,3095,2989,3568,1876,1692,56898,28882,28016
Washington,2005,61274,74121,1799,954,845,6046,3057,2989,6390,3318,3072,3542,1787,1755,56136,28593,27543
Washington,2006,60213,76505,1838,918,920,6467,3270,3197,6965,3521,3444,3641,1842,1799,57168,29084,28084
Washington,2007,62801,77160,1931,945,986,6710,3443,3267,7312,3676,3636,3774,1975,1799,56775,28718,28057
Washington,2008,61625,78429,1965,980,985,6495,3281,3214,7999,4018,3981,3620,1911,1709,57399,29141,28258
Washington,2009,62764,79916,1998,1009,989,6826,3454,3372,8713,4438,4275,3910,1998,1912,57227,28996,28231
West Virginia,1993,20054,21844,17,,,124,,,49,,,781,,,20873,,
West Virginia,1994,20228,21507,17,,,120,,,55,,,771,,,20544,,
West Virginia,1995,19884,22058,26,,,118,,,59,,,763,,,21092,,
West Virginia,1996,20131,21844,40,,,109,,,64,,,840,,,20791,,
West Virginia,1997,20335,21215,31,,,67,,,114,,,750,,,20253,,
West Virginia,1998,19573,21765,33,,,73,,,123,,,768,,,20768,,
West Virginia,1999,20164,21344,25,14,11,74,41,33,126,59,67,802,402,400,20317,10366,9951
West Virginia,2000,19889,20982,27,9,18,136,84,52,81,33,48,732,364,368,20006,9862,10144
West Virginia,2001,19437,19716,19,11,8,128,55,73,53,22,31,727,348,379,18789,9432,9357
West Virginia,2002,18440,18336,29,13,16,152,72,80,82,39,43,651,330,321,17422,8868,8554
West Virginia,2003,17128,18416,16,7,9,157,62,95,67,35,32,713,337,376,17463,8916,8547
West Virginia,2004,17287,18554,15,8,7,154,77,77,91,41,50,680,349,331,17614,9118,8496
West Virginia,2005,17339,18319,15,8,7,134,62,72,85,42,43,719,346,373,17366,8725,8641
West Virginia,2006,16763,18022,27,14,13,149,68,81,120,49,71,722,369,353,17004,8596,8408
West Virginia,2007,17407,18508,17,9,8,125,64,61,97,45,52,764,394,370,17505,8775,8730
West Virginia,2008,17489,18625,15,8,7,163,84,79,133,70,63,778,415,363,17536,8782,8754
West Virginia,2009,17690,18914,18,6,12,158,85,73,140,68,72,814,417,397,17784,8970,8814
Wisconsin,1993,48563,55543,631,,,1037,,,1105,,,2640,,,50130,,
Wisconsin,1994,50027,53688,633,,,1026,,,1111,,,2459,,,48459,,
Wisconsin,1995,48371,57407,577,,,1090,,,1158,,,2558,,,52024,,
Wisconsin,1996,51735,57791,638,,,1082,,,1184,,,2529,,,52358,,
Wisconsin,1997,52651,60542,663,,,1220,,,1343,,,2809,,,54507,,
Wisconsin,1998,55189,63188,721,,,1322,,,1502,,,3200,,,56443,,
Wisconsin,1999,57607,63760,751,348,403,1512,741,771,1587,796,791,3050,1379,1671,56860,28879,27981
Wisconsin,2000,58312,64076,697,335,362,1719,876,843,1689,849,840,3116,1392,1724,56855,28753,28102
Wisconsin,2001,58545,65195,712,387,325,1781,889,892,1838,953,885,3570,1843,1727,57294,29231,28063
Wisconsin,2002,59341,65946,814,431,383,1981,1021,960,2025,1054,971,3850,1944,1906,57276,29075,28201
Wisconsin,2003,60575,68714,891,436,455,2108,1052,1056,2206,1145,1061,3891,2024,1867,59618,30526,29092
